frame_index,timestamp,instrument_id,instrument_type,center_x,center_y,area,confidence,bbox_x,bbox_y,bbox_w,bbox_h
285,11.4,0,scissors,503,275,5270,0.5436205621301775,477,223,53,104
285,11.4,1,scalpel,519,159,824,0.38413265306122446,508,124,22,70
290,11.6,0,scissors,503,275,5264,0.5433431952662722,477,223,53,104
290,11.6,1,scalpel,520,162,658,0.3829554043839758,511,131,19,63
295,11.8,0,scissors,503,276,5208,0.5502883506343714,477,225,53,102
295,11.8,1,scalpel,521,166,520,0.38002462296091105,513,138,17,57
300,12.0,0,scissors,503,276,5207,0.5502643214148404,477,225,53,102
300,12.0,1,scalpel,521,167,535,0.37959274673008325,513,138,17,58
305,12.2,0,scissors,503,276,5184,0.5491589773164167,477,225,53,102
305,12.2,1,scalpel,520,165,617,0.382907820478366,511,135,19,61
310,12.4,0,scissors,503,276,5133,0.5516174884815215,477,226,53,101
310,12.4,1,scalpel,519,162,860,0.3829957561728395,508,126,22,72
315,12.6,0,scissors,503,277,5077,0.553875,477,227,53,100
315,12.6,1,scalpel,517,159,1138,0.3846594289113623,504,118,26,82
320,12.8,0,scissors,503,278,4952,0.55783527696793,477,229,53,98
320,12.8,1,scalpel,515,157,1397,0.3862654320987654,501,112,29,90
325,13.0,0,scissors,503,279,4858,0.5635633680555556,477,231,53,96
325,13.0,1,scalpel,515,157,1476,0.38532778355879294,501,111,29,93
330,13.2,0,scissors,503,280,4777,0.5703429153463104,477,233,53,94
330,13.2,1,scalpel,515,159,1475,0.3852988784830616,501,113,29,93
335,13.4,0,scissors,503,280,4695,0.5714475661926235,477,234,53,93
335,13.4,1,scalpel,515,162,1434,0.3847117202268431,501,116,29,92
340,13.6,0,scissors,503,281,4662,0.5754312381852551,477,235,53,92
340,13.6,1,scalpel,516,164,1361,0.38404320987654317,502,119,28,90
345,13.8,0,scissors,503,282,4598,0.5838271604938272,477,237,53,90
345,13.8,1,scalpel,515,164,1418,0.3837960775047259,501,118,29,92
350,14.0,0,scissors,503,282,4537,0.5863906072465598,477,238,53,89
350,14.0,1,scalpel,515,163,1506,0.3834349030470914,501,116,29,95
355,14.2,0,scissors,503,282,4488,0.5832975634389597,477,238,53,89
355,14.2,1,scalpel,515,163,1610,0.38384527280299874,500,114,30,98
360,14.4,0,scissors,503,283,4457,0.5878034607438016,477,239,53,88
360,14.4,1,scalpel,514,162,1706,0.3820117262591311,499,111,31,102
365,14.6,0,scissors,503,283,4409,0.5912868278504426,477,240,53,87
365,14.6,1,scalpel,514,163,1747,0.38398212226066897,498,112,32,102
370,14.8,0,scissors,503,284,4294,0.59719723183391,477,242,53,85
370,14.8,1,scalpel,514,165,1798,0.3831407174556213,498,113,32,104
375,15.0,0,scissors,503,285,4206,0.6053055595877486,477,244,53,83
375,15.0,1,scalpel,513,165,1910,0.38343523451829853,497,112,33,107
380,15.2,0,scissors,503,286,4161,0.609451219512195,477,245,53,82
380,15.2,1,scalpel,512,164,2045,0.38450413223140495,495,109,35,110
385,15.4,0,scissors,503,285,4173,0.6028741471911743,477,244,53,83
385,15.4,1,scalpel,511,162,2240,0.3861995998768852,493,105,37,114
390,15.6,0,scissors,503,285,4272,0.6027210884353742,477,243,53,84
390,15.6,1,scalpel,510,158,2525,0.39716451215758697,490,101,40,114
395,15.8,0,scissors,503,283,4391,0.5900977672083498,477,240,53,87
395,15.8,1,scalpel,507,145,3022,0.3880484820231921,485,80,45,131
400,16.0,0,scissors,503,280,4741,0.5741068331599029,477,234,53,93
400,16.0,1,scalpel,504,136,3644,0.3970882838723427,479,68,51,137
405,16.2,0,scissors,503,275,5311,0.5455390162721894,477,223,53,104
405,16.2,1,scalpel,503,124,3970,0.3998440722297671,477,54,53,141
410,16.4,0,scalpel,503,266,6206,0.5119390751997814,477,206,53,121
410,16.4,1,scalpel,503,114,4123,0.425823974609375,477,50,53,128
415,16.6,0,scalpel,503,258,7077,0.48580655324511657,477,189,53,138
415,16.6,1,scalpel,503,105,3733,0.4542561983471074,477,50,53,110
420,16.8,0,scalpel,503,247,8196,0.460087890625,477,167,53,160
420,16.8,1,scissors,503,93,2887,0.49520686857760954,477,50,53,86
425,17.0,0,scalpel,503,237,9185,0.44175154320987653,477,147,53,180
425,17.0,1,scissors,503,81,1555,0.49589317208364825,477,50,53,63
430,17.2,0,scalpel,503,231,9758,0.4337408514020997,477,136,53,191
435,17.4,0,scalpel,503,224,10410,0.4238607971445568,477,122,53,205
440,17.6,0,scalpel,503,219,10949,0.4173375342935528,477,111,53,216
445,17.8,0,scalpel,503,212,11750,0.41203066303083463,477,98,53,229
450,18.0,0,scalpel,503,207,12273,0.4074342185886101,477,88,53,239
455,18.2,0,scalpel,503,206,12419,0.4069110380330917,477,86,53,241
460,18.4,0,scalpel,503,206,12427,0.40697990737074086,477,86,53,241
465,18.6,0,scalpel,503,207,12358,0.40727430555555555,477,87,53,240
470,18.8,0,scalpel,503,209,12217,0.40967573972996263,477,91,53,236
475,19.0,0,scalpel,503,211,12011,0.41157662009512486,477,95,53,232
480,19.2,0,scalpel,503,212,11896,0.4124385633270321,477,97,53,230
485,19.4,0,scalpel,503,212,11812,0.4126218035506569,477,98,53,229
490,19.6,0,scalpel,503,213,11701,0.4135428593607483,477,100,53,227
495,19.8,0,scalpel,503,215,11592,0.41551837531887753,477,103,53,224
